Fold,Model,Chain,label,RMSE
3,CLUS (15),,disparate_parity,0.145297216
3,CLUS (15),,equal_opportunity,0.17329621618572927
3,CLUS (15),,group_fairness,0.076365153
3,CLUS (15),,all,0.13165286183586924
4,CLUS (15),,disparate_parity,0.13691234747896103
4,CLUS (15),,equal_opportunity,0.17057436618237617
4,CLUS (15),,group_fairness,0.079861996
4,CLUS (15),,all,0.12911623671350983
5,CLUS (15),,disparate_parity,0.13977874530539866
5,CLUS (15),,equal_opportunity,0.16605229674118482
5,CLUS (15),,group_fairness,0.075349108
5,CLUS (15),,all,0.12706004992967615
6,CLUS (15),,disparate_parity,0.14207632836545295
6,CLUS (15),,equal_opportunity,0.17062458271309025
6,CLUS (15),,group_fairness,0.071834264
6,CLUS (15),,all,0.12817839167069248
7,CLUS (15),,disparate_parity,0.13740047207038084
7,CLUS (15),,equal_opportunity,0.1695788192145877
7,CLUS (15),,group_fairness,0.072708235
7,CLUS (15),,all,0.12656250878654685
8,CLUS (15),,disparate_parity,0.13815890343840992
8,CLUS (15),,equal_opportunity,0.16461109562995246
8,CLUS (15),,group_fairness,0.075790251
8,CLUS (15),,all,0.12618675017853392
9,CLUS (15),,disparate_parity,0.14299378980574556
9,CLUS (15),,equal_opportunity,0.16801838981226339
9,CLUS (15),,group_fairness,0.073540089
9,CLUS (15),,all,0.1281840893731878
0,CLUS (20),,disparate_parity,0.1485241605361866
0,CLUS (20),,equal_opportunity,0.17712373204855192
0,CLUS (20),,group_fairness,0.073794913
0,CLUS (20),,all,0.13314760199900044
1,CLUS (20),,disparate_parity,0.14679233531701508
1,CLUS (20),,equal_opportunity,0.1651962328314786
1,CLUS (20),,group_fairness,0.073741952
1,CLUS (20),,all,0.1285768400789201
2,CLUS (20),,disparate_parity,0.13744883438744884
2,CLUS (20),,equal_opportunity,0.16331279609430382
2,CLUS (20),,group_fairness,0.075032109
2,CLUS (20),,all,0.12526457970570118
3,CLUS (20),,disparate_parity,0.1450926658093209
3,CLUS (20),,equal_opportunity,0.17303683219680077
3,CLUS (20),,group_fairness,0.075948818
3,CLUS (20),,all,0.13135943870445213
4,CLUS (20),,disparate_parity,0.13624355237622196
4,CLUS (20),,equal_opportunity,0.1702586083152191
4,CLUS (20),,group_fairness,0.079643359
4,CLUS (20),,all,0.12871517312435735
5,CLUS (20),,disparate_parity,0.13922510687794162
5,CLUS (20),,equal_opportunity,0.1662036910465674
5,CLUS (20),,group_fairness,0.074936393
5,CLUS (20),,all,0.12678839696740854
6,CLUS (20),,disparate_parity,0.14176369367022232
6,CLUS (20),,equal_opportunity,0.17033944920778338
6,CLUS (20),,group_fairness,0.071486768
6,CLUS (20),,all,0.12786330355372838
7,CLUS (20),,disparate_parity,0.13728900215088494
7,CLUS (20),,equal_opportunity,0.16876385338357047
7,CLUS (20),,group_fairness,0.07200755
7,CLUS (20),,all,0.12602013533245546
8,CLUS (20),,disparate_parity,0.13719197900749838
8,CLUS (20),,equal_opportunity,0.16426910389049165
8,CLUS (20),,group_fairness,0.075256997
8,CLUS (20),,all,0.12557269319761352
9,CLUS (20),,disparate_parity,0.1423635291759508
9,CLUS (20),,equal_opportunity,0.16803364335943893
9,CLUS (20),,group_fairness,0.073784205
9,CLUS (20),,all,0.12806045926543663
0,CLUS (30),,disparate_parity,0.1483338424716795
0,CLUS (30),,equal_opportunity,0.1771568746286104
0,CLUS (30),,group_fairness,0.073469974
0,CLUS (30),,all,0.1329868970773557
1,CLUS (30),,disparate_parity,0.1459489414365007
1,CLUS (30),,equal_opportunity,0.16447335412946565
1,CLUS (30),,group_fairness,0.07316779
1,CLUS (30),,all,0.12786336175068136
2,CLUS (30),,disparate_parity,0.1373948106343062
2,CLUS (30),,equal_opportunity,0.1628464130865485
2,CLUS (30),,group_fairness,0.074395565
2,CLUS (30),,all,0.12487892944662604
3,CLUS (30),,disparate_parity,0.14404425048148203
3,CLUS (30),,equal_opportunity,0.17151450190063963
3,CLUS (30),,group_fairness,0.075217259
3,CLUS (30),,all,0.13025867047384282
