Fold,Model,Chain,Target,RMSE
2,Chain,"['group_fairness', 'equal_opportunity', 'disparate_parity']",equal_opportunity,0.15130805036702719
2,Chain,"['group_fairness', 'equal_opportunity', 'disparate_parity']",group_fairness,0.07506498628578241
2,Ensemble,,disparate_parity,0.126709680744163
2,Ensemble,,equal_opportunity,0.1510954282673808
2,Ensemble,,group_fairness,0.07543371064329545
3,Chain,"['disparate_parity', 'equal_opportunity', 'group_fairness']",disparate_parity,0.13260396683782896
3,Chain,"['disparate_parity', 'equal_opportunity', 'group_fairness']",equal_opportunity,0.16391779987074662
3,Chain,"['disparate_parity', 'equal_opportunity', 'group_fairness']",group_fairness,0.07969047973315493
3,Chain,"['disparate_parity', 'group_fairness', 'equal_opportunity']",disparate_parity,0.13260396683782896
3,Chain,"['disparate_parity', 'group_fairness', 'equal_opportunity']",equal_opportunity,0.16264739970473346
3,Chain,"['disparate_parity', 'group_fairness', 'equal_opportunity']",group_fairness,0.07780836025217006
3,Chain,"['equal_opportunity', 'disparate_parity', 'group_fairness']",disparate_parity,0.1353277306903623
3,Chain,"['equal_opportunity', 'disparate_parity', 'group_fairness']",equal_opportunity,0.16091393575210636
3,Chain,"['equal_opportunity', 'disparate_parity', 'group_fairness']",group_fairness,0.07991188485073175
3,Chain,"['equal_opportunity', 'group_fairness', 'disparate_parity']",disparate_parity,0.134950525379804
3,Chain,"['equal_opportunity', 'group_fairness', 'disparate_parity']",equal_opportunity,0.16091393575210636
3,Chain,"['equal_opportunity', 'group_fairness', 'disparate_parity']",group_fairness,0.0800521680759715
3,Chain,"['group_fairness', 'disparate_parity', 'equal_opportunity']",disparate_parity,0.13247501442490614
3,Chain,"['group_fairness', 'disparate_parity', 'equal_opportunity']",equal_opportunity,0.16231438573124113
3,Chain,"['group_fairness', 'disparate_parity', 'equal_opportunity']",group_fairness,0.07624283851698727
3,Chain,"['group_fairness', 'equal_opportunity', 'disparate_parity']",disparate_parity,0.1349103286061935
3,Chain,"['group_fairness', 'equal_opportunity', 'disparate_parity']",equal_opportunity,0.1601764616804816
3,Chain,"['group_fairness', 'equal_opportunity', 'disparate_parity']",group_fairness,0.07624283851698727
3,Ensemble,,disparate_parity,0.13252395601643055
3,Ensemble,,equal_opportunity,0.16075666769962488
3,Ensemble,,group_fairness,0.07705588190589163
4,Chain,"['disparate_parity', 'equal_opportunity', 'group_fairness']",disparate_parity,0.12492840311880503
4,Chain,"['disparate_parity', 'equal_opportunity', 'group_fairness']",equal_opportunity,0.16456189000341306
4,Chain,"['disparate_parity', 'equal_opportunity', 'group_fairness']",group_fairness,0.08470693311865128
4,Chain,"['disparate_parity', 'group_fairness', 'equal_opportunity']",disparate_parity,0.12492840311880503
4,Chain,"['disparate_parity', 'group_fairness', 'equal_opportunity']",equal_opportunity,0.166206158816706
4,Chain,"['disparate_parity', 'group_fairness', 'equal_opportunity']",group_fairness,0.0848924060632372
