overAll,target1,target2,target3
48.898695715114634,37.09536979183414,40.9180370111005,68.68268034240909
17.05970652682286,8.780298703327448,13.93392402173096,28.464896855410185
16.715301873544174,10.247355154297276,17.184238075014154,22.714312391321098
15.40824307745946,8.44453361899307,14.535923613341856,23.24427200004347
6.2897151609670745,5.06379169286998,6.019604989566697,7.7857488004645345
12.601801509532828,14.650063297589407,12.073030958269522,11.082310272739532
285.48303397326134,7.081060117970666,4.110429929136408,845.2576118726762
10.14668110873937,6.906765723109149,13.214985330240635,10.318292272868304
24.098652000604684,6.329244619551429,7.419907077605422,58.5468043046572
6.949191205916939,4.207323029825596,7.739634815276363,8.900615772648864
61.54305647277823,87.40001122681018,44.060987489399544,53.16817070212514
34.13736027944733,43.58913508399502,30.94881730000409,27.87412845434295
7.7174932738651405,3.3456891354325875,10.617304254520958,9.189486431641884
7.086566511023029,3.7674135010353615,7.985187909672536,9.507098122361198
18.34311659099514,8.117656246636157,12.77310431600005,34.13858921034922
6.275916847786313,3.8798885683044895,7.457789733638296,7.490072241416144
4.930036299181677,3.4040563428267667,4.400738838868954,6.985313715849313
6.815113667097737,3.532894201181849,9.762932293628445,7.14951450648292
8.566018856903797,3.568901684486207,6.458507753905259,15.670647132319928
3.6257399805898483,2.3599842003398295,2.887838584804888,5.629397156624823
5.816878064030884,3.7069239025215452,6.282169269718966,7.461541019852134
4.071044784978786,1.6360620132940362,4.636408332921623,5.9406640087207
4.399948856081413,3.1489657963928384,4.4466068399089895,5.6042739319424095
0.9236239840590229,0.5236904911386632,1.4460579072580828,0.8011235537803221
3.8455208528307345,1.9630104435152342,2.5996266247275357,6.973925490249434
626.7229799566545,15.495176930398648,2.9905071175695923,1861.683255821995
26.298866241805158,4.317706972817273,6.145931463309733,68.43296028928849
4.23921528353853,2.7947400323079514,4.409227215072076,5.513678603235561
4.281037078714626,4.707415620014066,5.802516531373534,2.333179084756284
3.3388831158554972,2.913034485608757,4.437215414831786,2.666399447125954
7.44692629296452,10.168443668217279,7.18817632970747,4.984158880968791
2.1718832640539723,1.6267648520809679,1.8404754682706823,3.0484094718102646
14.592294105300951,3.5397543644421248,9.807992597569038,30.429135353891684
6.919353627621004,2.92246261289648,3.514207485141189,14.321390784825345
0.05364539807601936,0.0068157931432605385,0.11832465916710073,0.035795741917696744
3.413764443167537,2.0896971120861365,4.749766275140126,3.4018299422763483
8.951971271381472,2.6208939944038714,5.3723566250890515,18.862663194651493
3.2641522002693306,2.1401795386817164,3.3999175719342145,4.252359490192062
0.8714518681187498,0.6670837922560636,1.117428349031721,0.8298434630684631
5.187423418740013,4.757793226461348,4.410339147701811,6.394137882056877
2.72680007883424,1.0119080150971451,1.970903959037244,5.197588262368328
5.13603742720012,3.5650755582839424,6.5022159482843405,5.340820775032076
3.4473742190042476,3.9261360441326953,4.481953300781453,1.9340333120985982
3.8965674047559506,1.8137108432809732,4.951915577381091,4.924075793605781
3.187811107956384,2.497222003836516,3.652340885816312,3.413870434216328
2.4723209827790398,1.8202324877222094,3.904416401345113,1.6923140592697983
0.6268794972678158,0.45729019759780004,0.6022733914970033,0.8210749027086437
3.483848534712062,2.2098681324838836,5.058669744151447,3.183007727500853
0.7890292529150841,0.742865103585942,1.284649273520076,0.3395733816392335
1.870075315600962,0.6906059780120063,1.2559505927492685,3.663669376041609
5.233939945403155,2.5765771186416537,5.191481011154585,7.9337617064132315
